State 	ExpPrior[ Recombination rate ]	Coalescent	treeLikelihood	 num.patterns	 num.nodes	popSize	rec.rate	kappaR	kappaY	site.height	site.bps	total.bps	 mc.speed 
15090000	-3.8956	127.0716	-16272.920179383398	564	28	0.002909399	16.918186	1.236065	0.755794	0.011045469612427724	2	2	15384.62
15095000	-4.1247	119.9579	-16265.297188446923	591	29	0.00642506	22.645413	0.784941	0.893043	0.012208226963672825	2	2	15337.42
15100000	-5.8095	146.6056	-16260.76802194474	590	31	0.00385461	64.764828	1.000501	0.607177	0.0112719770804731	4	5	14970.06
15105000	-4.2733	148.0512	-16276.009241695032	607	33	0.00480157	26.361482	1.25296	0.78866	0.012414235318561883	4	5	15243.9
15110000	-4.554	139.1904	-16268.053381515441	584	28	0.00398831	33.378949	1.07297	0.55518	0.009664805606289354	3	4	14705.88
15115000	-7.8854	182.7432	-16266.281386648683	624	30	0.00453089	116.664237	1.28979	0.773973	0.01222107835628618	4	9	15337.42
15120000	-4.1755	131.1764	-16257.491879551124	628	33	0.00426996	23.9168	1.167194	0.963132	0.012234113710105115	3	3	14577.26
15125000	-6.5049	133.5021	-16267.83273618389	649	34	0.0033033	82.151144	1.025016	1.170291	0.01249070707821062	3	3	13850.42
15130000	-4.9474	133.0107	-16261.095110224269	574	28	0.00319328	43.213442	1.08963	1.211502	0.012388039221576518	2	3	14836.8
15135000	-4.7013	128.9854	-16263.346862456285	611	30	0.002826179	37.061317	0.99485	0.915703	0.012110862371769332	2	2	14880.95
15140000	-5.2731	133.6951	-16265.32666623003	594	30	0.00388781	51.356017	1.264242	0.781344	0.012873999266370943	3	3	14749.26
15145000	-4.0617	126.4499	-16266.31072220231	575	28	0.00371167	21.070845	1.212713	1.223105	0.011304738164108073	2	2	15479.88
15150000	-4.9362	127.7615	-16261.071766976922	573	28	0.00379002	42.932136	1.121803	1.073802	0.012872510898162796	2	2	15151.52
15155000	-5.2627	125.3972	-16266.639256250375	553	27	0.00324138	51.096763	1.122177	0.967577	0.010028862287319851	2	2	15576.32
15160000	-4.2564	126.6598	-16258.32272901906	574	28	0.00350568	25.938106	0.984073	1.033695	0.011427685912957461	2	2	15337.42
15165000	-6.2157	137.1708	-16264.048893596486	592	29	0.00690329	74.919766	1.12261	1.056029	0.011951630038449484	2	4	14880.95
15170000	-5.4327	133.2604	-16275.729856066686	613	31	0.002911675	55.345385	1.003933	1.007963	0.012957766217002793	3	3	15384.62
15175000	-8.0739	153.4094	-16262.580710071663	611	30	0.00449638	121.376409	0.843289	1.198259	0.010245290496575904	4	5	14925.37
15180000	-6.908	165.7621	-16262.414022802932	591	35	0.00386315	92.227351	1.176077	0.965687	0.012537019075666579	6	6	15151.52
15185000	-5.9292	155.3972	-16274.788035195206	572	28	0.002496405	67.757934	0.896415	1.274299	0.010112200412221056	4	5	14619.88
15190000	-5.1948	126.2819	-16261.582480481895	592	29	0.00325362	49.398392	1.079019	1.036766	0.01031778665580397	2	2	14245.01
15195000	-5.6029	134.6239	-16264.274877384476	574	28	0.00507164	59.599482	1.07748	1.171662	0.011552660041172178	2	3	15197.57
15200000	-3.911	128.3928	-16262.822271116362	572	28	0.00316874	17.301862	1.003382	0.723164	0.010853798269759836	2	2	15337.42
15205000	-6.9881	138.5613	-16259.64929736777	582	29	0.00328399	94.22986	1.109609	0.918678	0.012331429061931914	3	3	15290.52
15210000	-5.4057	123.9078	-16264.722896870408	581	28	0.00590231	54.671501	0.965301	0.860416	0.010775856837825337	2	2	15105.74
15215000	-4.5183	135.9154	-16268.534618813173	615	30	0.003003556	32.48656	1.119729	0.689491	0.008921772853504683	3	3	14577.26
15220000	-4.415	124.9284	-16265.733751771055	599	29	0.00370853	29.903287	1.123923	0.970759	0.011772374046266583	2	2	14749.26
15225000	-5.6301	170.8179	-16260.200592951189	652	39	0.00602342	60.280036	1.041738	1.511715	0.014700627645773828	6	8	14925.37
15230000	-6.1481	125.4328	-16265.049989841373	574	28	0.00417906	73.231203	0.967751	0.988438	0.010627708945983921	2	2	14409.22
15235000	-3.8395	126.7894	-16262.289075339791	575	28	0.00305408	15.514399	1.513494	0.714682	0.01210125533172611	2	2	15105.74
15240000	-5.2441	131.6682	-16261.094429351473	587	29	0.00350066	50.62944	1.028379	1.002881	0.012221061958833311	3	3	15290.52
15245000	-5.4456	135.4557	-16271.236879437318	622	30	0.00473444	55.66772	0.90376	2.093014	0.010283815567379662	3	3	14450.87
15250000	-5.5663	139.3212	-16261.35071471277	618	30	0.00378579	58.685706	0.969409	0.771843	0.012269991152990881	3	3	15060.24
15255000	-3.4664	120.3537	-16272.26841573816	559	28	0.002690376	6.188061	1.145328	0.607835	0.008257085238389063	1	1	13966.48
