State 	ExpPrior[ constantRecRate ]	Coalescent	dataLikelihood	popSize	constantRecRate	a.freq	c.freq	g.freq	t.freq 	kappaY	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
11275000	-5.9258	347.6984	-20157.36740460532	0.01400338	67.674117	0.1056581574487905	0.19615698259621903	0.3024516092051388	0.3957332507498515	4.204677	0.06422227101932129	0.03752084341850829	13	26	10292	94	6858.71
11280000	-6.5339	325.9386	-20168.134968275535	0.01292239	82.875354	0.10164309801117684	0.1887029254439496	0.3103199306179337	0.39933404592694	4.218523	0.0818444991090903	0.03833118900235027	16	23	11070	95	6165.23
11285000	-5.4336	275.0991	-20157.43960288501	0.01206449	55.368611	0.1056714335722086	0.1943219342718672	0.30333539957506883	0.39667123258085524	3.970951	0.0749514705293973	0.04185554935351993	12	16	12957	97	6265.66
11290000	-7.1046	309.4757	-20155.634090365493	0.01231925	97.14397	0.10506295977479578	0.1958128981213323	0.3031312051318681	0.39599293697200394	3.883909	0.08403419637030698	0.04862939720288287	13	20	11546	94	6297.23
11295000	-7.3299	330.8206	-20154.40036598109	0.01395429	102.776595	0.09913410245548525	0.20112205871612368	0.2985058809445311	0.40123795788386	3.966951	0.05891189940801182	0.041278033914082954	13	23	9869	94	6468.31
11300000	-8.028	455.5151	-20156.225020961814	0.00816687	120.228628	0.1095743274586427	0.19690502104583685	0.3016718577356092	0.3918487937599112	4.963038	0.05962958091455274	0.04173261911609072	18	37	9941	94	6839.95
11305000	-6.0903	322.4703	-20160.53540427801	0.01211126	71.785095	0.10546174970272441	0.1895147205223189	0.3131852997954493	0.39183822997950746	3.673222	0.043907953618304435	0.043907953618304435	14	21	13709	94	6211.18
11310000	-6.3844	310.3425	-20155.594626559116	0.01274531	79.137245	0.10018118026763208	0.19903859488442455	0.31245798680302755	0.3883222380449157	4.504634	0.04701047090020949	0.04701047090020949	11	20	12648	95	5854.8
11315000	-8.3488	331.1541	-20145.88491405396	0.01112339	128.248346	0.09781127991050112	0.20015330180725874	0.30506643588962545	0.39696898239261474	4.028768	0.05512908454237485	0.03973684597886072	17	22	11445	97	5966.59
11320000	-4.4859	268.2633	-20158.308409141682	0.01156256	31.676061	0.09695503900247464	0.19840115783121876	0.3057595070402153	0.39888429612609133	3.762671	0.07060063559901586	0.04636590748914344	9	15	10163	95	5966.59
11325000	-4.835	254.3613	-20145.517853781457	0.01381648	40.402234	0.10421198186292914	0.1936291730773605	0.30256613536551613	0.3995927096941943	4.005613	0.052295042648906484	0.049078733659886194	10	13	11224	97	5518.76
11330000	-5.6305	249.797	-20152.80360579829	0.01414425	60.291533	0.10242073189357984	0.19719118283852924	0.3057622738272297	0.3946258114406612	4.005613	0.05731126780705799	0.040216178578785865	11	13	10670	96	5740.53
11335000	-4.5197	224.9774	-20149.46305459597	0.01480279	32.521088	0.10377507011323733	0.19689364526721137	0.30530091565164796	0.39403036896790344	4.673994	0.0424460265823613	0.0424460265823613	10	10	10012	95	5405.41
11340000	-5.4271	252.2954	-20166.2771737849	0.01302096	55.204456	0.10172396351305533	0.19784246471644493	0.29926666559090215	0.40116690617959777	3.472019	0.049034713365119394	0.049034713365119394	9	13	11533	96	5440.7
11345000	-5.7179	261.3735	-20150.05271540229	0.01211156	62.476236	0.10013607867621976	0.19475419486383444	0.3102049322288377	0.3949047942311082	4.278436	0.04378276802349337	0.040330806950492515	11	14	10235	94	5291.01
11350000	-5.808	252.6274	-20152.801733496388	0.01663268	64.727048	0.10478696130394859	0.1937476216697041	0.30860166011607587	0.3928637569102715	4.098726	0.04230542548616991	0.04230542548616991	12	13	13250	102	5102.04
11355000	-6.0572	290.3415	-20148.03053693284	0.01349154	70.959246	0.10381449495890198	0.19819343970055928	0.30573770906000985	0.392254356280529	4.313233	0.040955200800287056	0.040955200800287056	16	18	12895	107	5359.06
11360000	-7.043	255.3513	-20155.97396929494	0.01334265	95.603031	0.10398372531713163	0.19815601402628688	0.3056799753634286	0.39218028529315296	4.484235	0.040984877646251694	0.040984877646251694	11	14	11399	100	5181.35
11365000	-5.6874	255.161	-20152.54420658395	0.01183284	61.71226	0.10396934850808764	0.19812861693923423	0.3056377119936468	0.3922643225590314	3.97284	0.053727756618968545	0.04165300220420016	11	15	12957	102	5230.13
11370000	-6.6234	328.3201	-20147.77579864782	0.01277762	85.11307	0.10579518674958639	0.20296902695191504	0.30271830960890517	0.3885174766895933	4.026148	0.06848625743970291	0.05094770576070734	14	23	14276	105	5470.46
11375000	-6.043	320.6595	-20152.990710005586	0.01164747	70.603921	0.10093407708797882	0.19388497791452847	0.30841735810779186	0.39676358688970087	4.567597	0.0786326051656953	0.044001834405728656	17	24	14395	102	5896.23
11380000	-6.5129	364.9492	-20149.5595152268	0.01435506	82.350758	0.11264470173117266	0.19369674274947524	0.30337793532255225	0.39028062019679977	4.155491	0.0718696488291922	0.04287931344763067	21	28	13441	103	6234.41
11385000	-6.6897	333.1299	-20154.573256738586	0.01434114	86.771741	0.10756796810673055	0.18496711098030477	0.3162639793384908	0.3912009415744739	4.089237	0.0654894545840544	0.04296052384729791	13	24	11968	101	6281.41
11390000	-6.9765	337.0197	-20147.131939185314	0.010412	93.940641	0.1044069615463698	0.1978855874869923	0.3068810736748075	0.3908263772918305	4.118443	0.04442371562610302	0.04442371562610302	14	23	12514	99	5945.3
11395000	-7.8222	363.0862	-20146.180154347905	0.01551857	115.082196	0.10432075577619013	0.19772219915326328	0.30662769096049536	0.3913293541100512	4.060172	0.04361834438440986	0.04361834438440986	14	29	14035	97	5861.66
11400000	-6.9916	357.9443	-20144.53878130677	0.01211292	94.317438	0.10022624943916544	0.2008362707785358	0.3014041047606065	0.3975333750216922	4.718494	0.04214378956808759	0.04196956774829391	12	27	12002	98	5938.24
11405000	-6.0061	305.191	-20141.77599869195	0.01130981	69.679546	0.1042863860197174	0.19473959553801276	0.3085750218399882	0.3923989966022817	4.530089	0.03988845250574493	0.03988845250574493	13	19	13668	97	5924.17
11410000	-5.6572	294.2373	-20150.806322301014	0.00871136	60.959146	0.10349391716573604	0.19325977568816557	0.3111726364568639	0.39207367068923454	3.999404	0.06268320737027251	0.0504014878101302	16	19	14416	102	5428.88
11415000	-6.1509	270.4795	-20152.64320533131	0.01361825	73.301476	0.10267897621948907	0.191094422049394	0.3092268166902587	0.39699978504085826	4.44914	0.045641622545257554	0.045641622545257554	12	15	12178	99	5428.88
11420000	-4.9604	242.0271	-20149.554185505513	0.01129184	43.537314	0.10051411841823689	0.19428027180218485	0.3015642456526185	0.4036413641269597	3.999111	0.04279383891452368	0.04279383891452368	10	11	10787	98	5213.76
