State 	Coalescent	pop.size.prior	 sum 	pop.size.changepoints	 mc.speed 
4334000	313.367	-89.95776164423572	-89.95776164423572	10	33333.33
4335000	312.8637	-90.3878767176356	-90.3878767176356	10	34482.76
4336000	313.3697	-91.84480988403162	-91.84480988403162	10	37037.04
4337000	313.1638	-91.55882459350863	-91.55882459350863	10	37037.04
4338000	312.5863	-92.1792364836528	-92.1792364836528	10	37037.04
4339000	313.5208	-91.96927851644924	-91.96927851644924	10	33333.33
4340000	313.1632	-90.59089863341966	-90.59089863341966	10	31250.0
4341000	313.2328	-91.20870301739447	-91.20870301739447	10	34482.76
4342000	313.1307	-91.73202190251847	-91.73202190251847	10	35714.29
4343000	313.5046	-92.78310616241782	-92.78310616241782	10	34482.76
4344000	312.496	-93.13151382215811	-93.13151382215811	10	37037.04
4345000	312.2053	-92.05906716373349	-92.05906716373349	10	37037.04
4346000	313.4716	-92.19052350313908	-92.19052350313908	10	33333.33
4347000	313.2363	-93.85634699053749	-93.85634699053749	10	37037.04
4348000	313.0431	-93.61265636862112	-93.61265636862112	10	34482.76
4349000	313.038	-95.51239367215366	-95.51239367215366	10	37037.04
4350000	312.9289	-94.39940553822944	-94.39940553822944	10	35714.29
4351000	313.4936	-94.67254331020558	-94.67254331020558	10	37037.04
4352000	313.3522	-94.515138775648	-94.515138775648	10	34482.76
4353000	313.2909	-94.78067560815917	-94.78067560815917	10	37037.04
4354000	313.1324	-92.7621122617721	-92.7621122617721	10	35714.29
4355000	313.4201	-92.00050583728087	-92.00050583728087	10	37037.04
4356000	312.8165	-93.59327964319844	-93.59327964319844	10	29411.76
4357000	313.3882	-94.01019559445449	-94.01019559445449	10	29411.76
4358000	313.4272	-94.89432350008232	-94.89432350008232	10	34482.76
4359000	313.1905	-95.42657063749289	-95.42657063749289	10	37037.04
4360000	311.2569	-95.58802490167409	-95.58802490167409	10	32258.06
4361000	313.0304	-95.73520929797425	-95.73520929797425	10	35714.29
4362000	312.6576	-93.48722433241478	-93.48722433241478	10	37037.04
4363000	312.9495	-92.394821568158	-92.394821568158	10	33333.33
4364000	312.7713	-91.5983202322906	-91.5983202322906	10	31250.0
4365000	312.3996	-91.42469718048336	-91.42469718048336	10	35714.29
4366000	313.2236	-92.10839707502814	-92.10839707502814	10	37037.04
4367000	313.3302	-92.82717940544721	-92.82717940544721	10	37037.04
4368000	312.2511	-91.73942181635594	-91.73942181635594	10	34482.76
4369000	313.4772	-92.26715046648911	-92.26715046648911	10	37037.04
4370000	313.2985	-93.75405660592847	-93.75405660592847	10	35714.29
4371000	312.9935	-95.42002389484259	-95.42002389484259	10	34482.76
4372000	311.6277	-92.5006187533123	-92.5006187533123	10	34482.76
4373000	312.4272	-91.94454879840653	-91.94454879840653	10	33333.33
4374000	311.74	-94.01556784225767	-94.01556784225767	10	35714.29
4375000	310.3554	-93.8109956224527	-93.8109956224527	10	37037.04
4376000	312.768	-94.29044658262345	-94.29044658262345	10	32258.06
4377000	311.3626	-94.47834931216181	-94.47834931216181	10	31250.0
4378000	313.2602	-92.53353349673569	-92.53353349673569	10	35714.29
