State 	ExpPrior[ RecRate ]	Coalescent	dataLikelihood	popSize	RecRate	a.freq	c.freq	g.freq	t.freq 	KappaR	KappaY	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
230000	-15.2199	246.9182	-68996.3840546532	0.000799682	300.026724	0.31737166769644204	0.18311496247273362	0.18442654705546935	0.31508682277535505	2.192605	1.101726	0.003217727112451756	0.003217727112451756	11	11	19952	51	2853.88
235000	-12.8156	215.9057	-69019.12239804563	0.000825043	239.917783	0.31880823555839716	0.18718498859719654	0.18231374500852807	0.3116930308358783	1.447464	1.082511	0.003215892466747539	0.003215892466747539	7	8	10861	45	2842.52
240000	-11.0655	236.8617	-68988.78308687474	0.00054027	196.165971	0.3136016823543903	0.18431244064689378	0.18545238776314685	0.316633489235569	1.83933	1.173648	0.0028079827303584513	0.0028079827303584513	9	10	13013	49	2913.75
245000	-10.0281	232.4943	-68998.47993710519	0.000864376	170.230425	0.32026912559223486	0.18138428941822907	0.18480408771786586	0.3135424972716701	1.867998	0.765717	0.003914102603479071	0.003914102603479071	10	10	18820	48	2878.53
250000	-10.7447	231.1951	-69003.40365801772	0.000987016	188.146572	0.3164440614827468	0.18269587130032697	0.18517334995169832	0.3156867172652279	2.196545	1.035405	0.0033573143944182027	0.0033573143944182027	10	10	17145	47	2873.56
255000	-5.824	168.9243	-69026.95034491105	0.000789191	65.129036	0.31460285544098743	0.18561701186017593	0.18449973736069908	0.31528039533813745	1.632126	1.150787	0.00318728128255984	0.00318728128255984	5	5	12290	33	2726.28
260000	-13.0099	250.5833	-68989.29710297564	0.000520009	244.774489	0.31992859551288316	0.18269486495327514	0.18411428487334036	0.3132622546605012	1.794825	0.933031	0.003075107415458011	0.003075107415458011	8	11	12690	47	2665.25
265000	-7.383	232.0586	-68999.17732733357	0.000550577	104.102704	0.3150513760835534	0.18462969193317902	0.1843016397433089	0.31601729223995867	1.509544	0.92016	0.0033666778484656326	0.0033666778484656326	10	10	13334	55	2801.12
270000	-10.9244	235.7971	-69010.05956934653	0.000733553	192.637536	0.3139848224854365	0.18393063094421822	0.1832406124837677	0.3188439340865776	2.148458	0.912191	0.00463555018291937	0.004186367268366098	8	10	13610	42	2813.73
275000	-9.0075	205.7047	-69032.13656249932	0.00046365	144.71573	0.3132369139026506	0.18380789703359235	0.1865588456080887	0.31639634345566836	2.476959	0.807321	0.003031791630341729	0.003031791630341729	7	7	10472	40	2801.12
280000	-13.0061	215.9031	-68995.17286725403	0.00065202	244.679962	0.31511013941671895	0.1817684938841839	0.18888942117130117	0.3142319455277959	1.905795	0.594833	0.0028476277311459616	0.0028476277311459616	8	8	10269	45	2900.23
285000	-8.2583	200.7484	-69027.63697707588	0.000662217	125.986123	0.3148474457402653	0.18442278996762856	0.18558680274266684	0.31514296154943927	1.669259	1.031719	0.0029875079088588995	0.0029875079088588995	6	7	13891	35	2774.69
290000	-8.1361	216.7235	-69009.43686177518	0.000881976	122.929423	0.3161328668494766	0.18238123396900335	0.18641697263524815	0.3150689265462719	1.88457	0.923016	0.003175196259775583	0.003175196259775583	8	9	12442	46	2836.07
295000	-10.5602	242.3327	-68984.93058290448	0.000656458	183.532513	0.3144330780563647	0.18371212223958752	0.18472829224552625	0.3171265074585215	1.940156	0.95783	0.005332211654379716	0.005332211654379716	11	11	13834	45	2849.0
300000	-13.4433	236.4314	-69011.04666959507	0.000780254	255.610191	0.3156177237389659	0.18466243024173729	0.18407980019175427	0.31564004582754235	2.130823	0.758404	0.0031462560082474032	0.0031462560082474032	9	10	15867	43	2883.51
305000	-13.3837	236.5916	-68999.97055750684	0.000498747	254.120879	0.31720895116329423	0.18251078282326114	0.18316588633376066	0.317114379679684	2.353552	0.917809	0.0035596482868316993	0.0035596482868316993	10	10	15631	46	2886.84
