State 	ExpPrior[ RecRate ]	GammaPrior[alpha]	Coalescent	dataLikelihood	popSize	RecRate	a.freq	c.freq	g.freq	t.freq 	alpha	kappaY	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
350000	-14.9307	-2.3545	214.572	-14650.567097703648	0.001218425	292.796488	0.24563941306179463	0.23747814431078534	0.26536929229564665	0.25151315033177335	1.555051	1.763422	0.004160538232314005	0.004160538232314005	8	10	1794	44	3756.57
355000	-8.1401	0.9723	192.4518	-14657.19954966514	0.001960285	123.031181	0.24952946430872167	0.24098609693491885	0.25939002338162126	0.25009441537473825	0.03061915	2.107061	0.0062417153846076965	0.005435380748027392	7	9	1550	42	3921.57
360000	-11.2953	-0.353	214.187	-14645.147901397379	0.001761571	201.911529	0.24761544734681373	0.2391376119137401	0.26326431036252	0.24998263037692606	0.171046	1.817443	0.010220764089138136	0.0032486967498072056	8	11	1371	42	4071.66
365000	-11.212	1.0067	166.6568	-14648.92690134276	0.001867444	199.826944	0.2510336630247171	0.2421973386987151	0.2658618563144802	0.24090714196208773	0.02926278	2.398769	0.0032715766941347497	0.0032715766941347497	6	6	1542	45	4142.5
370000	-6.9144	-3.0799	164.5102	-14661.187918444382	0.001344067	92.389332	0.25577768698263703	0.24119966168618812	0.2668290009141814	0.23619365041699347	2.748265	1.695512	0.0036407281562630773	0.0036407281562630773	5	6	1287	46	3790.75
375000	-11.4729	0.8498	198.7219	-14644.813918361098	0.001073846	206.351409	0.24834535353868614	0.23571044915600517	0.25907554074841993	0.25686865655688895	0.0359919	2.756481	0.003427323865120803	0.003427323865120803	6	9	1307	47	3968.25
380000	-6.9034	-2.3316	151.6106	-14649.800456159877	0.002240836	92.113804	0.2467138392712213	0.23915168159680483	0.259557925613385	0.2545765535185889	1.52396	2.057679	0.0026998951504452317	0.0026998951504452317	5	5	1325	46	3921.57
385000	-14.7749	-0.9252	197.177	-14633.485150863475	0.002346977	288.899384	0.24675065008748018	0.24168488304759905	0.2621526145969702	0.24941185226795065	0.346058	2.069189	0.004757527040364033	0.0037927944507917767	8	9	1530	51	3984.06
390000	-5.7204	1.3762	161.1295	-14643.275258151305	0.001758006	62.53837	0.2554357487830798	0.24467101058405144	0.2561716626926365	0.2437215779402323	0.01794514	2.519681	0.0034260913576066136	0.0034260913576066136	6	6	1303	47	3790.75
395000	-5.1822	0.7353	161.5179	-14641.065865574243	0.001103844	49.082139	0.24884375984870846	0.24653402449284628	0.2573652318912605	0.24725698376718486	0.041844	1.917185	0.002442205692112147	0.002442205692112147	6	6	1313	49	3793.63
400000	-7.4391	-2.8228	156.7824	-14646.217022036024	0.001214779	105.506078	0.244419072251976	0.24916851290685535	0.2555988508231167	0.250813564018052	2.28015	2.053406	0.002664623253134819	0.002664623253134819	5	5	1337	43	3881.99
405000	-7.0209	-4.5188	162.1693	-14640.66843587904	0.001965946	95.050687	0.2522547839391185	0.23802232011227764	0.2526791520432922	0.2570437439053117	6.108014	2.156122	0.0036809401406331928	0.0036809401406331928	6	6	1565	46	3711.95
410000	-9.77	0.4389	165.5299	-14636.33557767333	0.001369684	163.77801	0.25841368463312403	0.23429239992299183	0.254278166263898	0.25301574917998604	0.0617183	1.717948	0.0029986108906366387	0.0029986108906366387	6	6	1506	48	3977.72
415000	-11.4718	-0.11399	187.3717	-14643.12294059387	0.001204235	206.322651	0.2578309675479267	0.23893327077758347	0.2525912553650235	0.2506445063094663	0.1262414	1.015348	0.003054576353054749	0.002834772651857206	6	8	1516	48	3912.36
420000	-8.8134	-2.9657	153.564	-14635.061303018032	0.001669852	139.864168	0.2511922178141149	0.23923087564138543	0.25977607419070864	0.24980083235379097	2.534391	1.446393	0.002747435980042734	0.002747435980042734	5	5	1336	45	3866.98
425000	-5.8085	-1.5802	155.1473	-14633.921378724845	0.001161419	64.73999	0.2593595818016688	0.23734938151127088	0.2526087442265666	0.2506822924604936	0.72931	1.828939	0.002503897109013376	0.002503897109013376	5	5	1333	46	3673.77
430000	-11.2667	-5.8484	159.2698	-14631.453037350646	0.002013428	201.196568	0.2532537911560558	0.2347872850048155	0.2563960718954184	0.25556285194371026	9.959614	1.719552	0.0024956002746448283	0.0024956002746448283	5	5	1350	47	3878.98
435000	-12.7051	-1.6796	177.958	-14630.83615702925	0.00201854	237.154769	0.2502235567424188	0.2416766324001265	0.25317575410263105	0.2549240567548236	0.810456	2.067382	0.0031402627457886184	0.0031402627457886184	6	7	1501	49	3878.98
440000	-9.2415	-2.8917	164.6191	-14634.606765835504	0.001420401	150.564853	0.254696366366186	0.24114947778564166	0.25671711451174567	0.2474370413364267	2.400896	2.232287	0.0025510034124585405	0.0025510034124585405	6	6	1534	49	3878.98
445000	-6.3878	0.03944	164.4469	-14632.866235804471	0.001715601	79.222353	0.24853164570995137	0.24299489842418934	0.25867494239552286	0.2497985134703364	0.1036639	3.253091	0.0037880834468285475	0.0037880834468285475	6	6	1507	47	3863.99
450000	-7.4501	-3.3611	166.8919	-14632.911766880155	0.001452987	105.779545	0.2413923199949204	0.24298755466861283	0.2648458789291791	0.2507742464072878	3.312741	1.618462	0.004341376691855654	0.004341376691855654	6	6	1536	47	4081.63
455000	-6.0632	1.8098	162.2773	-14632.7354358127	0.001153239	71.108783	0.2467560044684652	0.2435688906916574	0.25636456943719477	0.25331053540268267	0.01009328	2.158232	0.0025839750171398647	0.0025839750171398647	5	6	1026	48	3909.3
460000	-6.4898	-1.9536	168.7098	-14632.829316000327	0.00189867	81.772276	0.24955532927789367	0.24056059432271956	0.25375974111782024	0.25612433528156653	1.070751	2.063166	0.0024616622252741035	0.0024616622252741035	6	6	1474	53	3837.3
465000	-11.1284	-3.307	209.1964	-14633.788943913867	0.001451035	197.738469	0.25763863252273833	0.23949083905980081	0.25591951532518964	0.2469510130922712	3.200109	1.594298	0.0026657169281282915	0.0026657169281282915	8	9	1637	54	3881.99
470000	-7.1633	-1.5626	180.1474	-14633.629718929335	0.001170975	98.609957	0.253571695177496	0.2369430882008264	0.25569299873142093	0.2537922178902567	0.715681	2.46191	0.002922537360672058	0.002922537360672058	7	7	1538	46	4000.0
475000	-7.5257	-2.5724	162.0865	-14631.695218673043	0.001444502	107.671645	0.253571695177496	0.2369430882008264	0.25569299873142093	0.2537922178902567	1.871293	2.348672	0.0024392117233274875	0.0024392117233274875	6	6	1511	47	3912.36
480000	-7.0289	1.7434	175.009	-14630.575483384282	0.002224773	95.251018	0.24564877555323386	0.23944035024788046	0.2526915949493809	0.2622192792495049	0.01102346	1.633437	0.003419633717355612	0.003419633717355612	7	7	1672	55	3855.05
485000	-6.7505	0.3668	170.6926	-14630.250856647792	0.001198443	88.29179	0.24988088688865492	0.23214803739618511	0.2582850190148102	0.2596860567003498	0.0678056	1.616477	0.003174148336951855	0.003174148336951855	6	6	1454	54	3668.38
490000	-7.4812	-1.1397	166.9858	-14636.152555565885	0.001934504	106.557384	0.251749594459874	0.2436759397210273	0.2515028871260957	0.2530715786930031	0.445594	1.232164	0.002694360612266162	0.002694360612266162	6	6	1493	48	3825.55
495000	-12.6499	-2.6702	172.8442	-14639.241478611715	0.000983445	235.774697	0.2526606474434022	0.23737269672816283	0.2544709952549109	0.255495660573524	2.025317	2.44296	0.002829250949147979	0.002829250949147979	6	6	1469	49	3866.98
500000	-10.0671	-2.7481	161.4686	-14629.596167464733	0.001181156	171.205831	0.2510822729567352	0.2409223609367857	0.2583386283433847	0.2496567377630944	2.153104	2.838958	0.0032103498653267867	0.0032103498653267867	5	5	1300	46	3897.12
505000	-6.7389	-2.7025	158.7532	-14637.039047594915	0.001632303	88.000085	0.25066781110279057	0.2429515111057729	0.2596103165984931	0.2467703611929434	2.077796	2.68694	0.0030410922209790667	0.0030410922209790667	5	5	1277	46	3866.98
510000	-15.8609	-2.4031	186.9659	-14632.931202480082	0.001001566	316.050697	0.25207706955635084	0.24163245640131897	0.24834278275264587	0.25794769128968437	1.622361	1.950467	0.0031928384666874733	0.0031928384666874733	7	7	1704	53	3679.18
515000	-11.3194	0.05093	186.9804	-14636.29583385966	0.001034684	202.513476	0.2481079896767123	0.23665292318653394	0.25950219031918575	0.2557368968175681	0.102139	1.614129	0.0034150207013837184	0.0034150207013837184	7	7	1526	46	3965.11
520000	-7.7854	0.06722	163.5533	-14634.249725258302	0.002198796	114.163683	0.24973923402627618	0.246694918412042	0.25500172416731165	0.24856412339437028	0.1000161	2.517002	0.0037568836784589023	0.0037568836784589023	6	6	1569	48	3796.51
525000	-6.9876	-2.4747	170.2426	-14636.046925726856	0.000965978	94.217425	0.2501740423171431	0.24380418806832171	0.2520522433763554	0.2539695262381798	1.724909	1.919327	0.0025694617550945996	0.0025694617550945996	6	6	1557	45	3728.56
530000	-11.2959	-4.0301	182.0379	-14631.815988278693	0.001173551	201.92443	0.2544851199443854	0.23718092473381827	0.25763784890637614	0.2506961064154201	4.847055	1.31547	0.00422101879943241	0.00422101879943241	7	7	1713	51	3843.2
535000	-10.1528	-2.2005	179.4957	-14637.753056813817	0.001590121	173.348541	0.25487418859322686	0.23745134018252367	0.26071841734151313	0.2469560538827363	1.354156	1.912736	0.004101806622661746	0.004101806622661746	7	7	1547	46	3961.97
540000	-11.5809	-1.9825	167.9542	-14631.747821411118	0.001108782	209.05045	0.2525553659627495	0.2517952564179127	0.2491839831197601	0.24646539449957752	1.101568	2.8434	0.003319445580895185	0.003319445580895185	6	6	1321	47	4051.86
545000	-8.0402	-1.1265	172.4298	-14636.618213242726	0.001229813	120.531912	0.23903928211691217	0.24284905528884418	0.26239259030414275	0.2557190722901009	0.43877	1.73231	0.0034528461099179474	0.0034528461099179474	6	6	1283	50	3909.3
550000	-10.4058	-0.8502	173.9524	-14637.023199044685	0.001267538	179.673775	0.2422080483674245	0.2418377916686814	0.26129994417274544	0.2546542157911486	0.3162208	2.485274	0.0033315074615155715	0.0033315074615155715	6	6	1546	45	3731.34
