State 	ExpPrior[ RecRate ]	Coalescent	dataLikelihood	popSize	RecRate	Kappa	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
691000	-3.5453	38.5724	-4004.7915156590143	0.035765	8.159676	1.667609	0.038056653482640826	0.038056653482640826	3	3	542	16	28571.43
692000	-4.1335	46.0106	-4002.5328282359687	0.0325064	22.864575	2.019872	0.038606093194277664	0.038606093194277664	4	4	539	16	30303.03
693000	-3.9252	42.6156	-4006.6121438060572	0.0424912	17.65778	2.369311	0.03724259187812631	0.03724259187812631	4	4	678	18	27777.78
694000	-4.3997	77.3953	-4004.544593269099	0.0353427	29.520787	2.162692	0.09671911113807194	0.04055682742724108	7	11	676	17	37037.04
695000	-4.4022	94.8523	-4003.1713708502575	0.01900087	29.583553	2.954836	0.11644609470618444	0.06464344484364201	6	13	819	18	32258.06
696000	-5.6915	114.0375	-4002.652028463899	0.02675883	61.814599	2.64842	0.11868051141811482	0.041001147671731394	8	17	680	17	33333.33
697000	-3.8492	88.7821	-3997.78045308618	0.02837754	15.758854	2.326506	0.13245969695514426	0.036505766345101026	5	14	814	19	34482.76
698000	-3.9376	58.8399	-4004.851389397776	0.03075781	17.9687	2.725391	0.09806741585721883	0.03725927314742561	5	7	537	16	38461.54
699000	-5.6247	74.2533	-4001.926536073113	0.02848868	60.144427	2.990524	0.07574919843341675	0.0473956812537261	5	10	867	18	38461.54
700000	-4.451	55.5744	-4004.1265230246336	0.0167532	30.803634	2.891697	0.03605029473633095	0.03605029473633095	4	5	668	18	29411.76
701000	-5.8247	96.8972	-4001.193401685753	0.01341386	65.144674	2.113801	0.05730622842887544	0.04130030268633152	8	11	1018	24	29411.76
702000	-4.856	118.2351	-4002.394564370512	0.01748987	40.928099	2.795662	0.06561938499887628	0.06561938499887628	8	15	877	25	23255.81
703000	-3.947	76.183	-4012.1275607594534	0.01735113	18.20294	3.267579	0.05616482501021739	0.05616482501021739	6	9	926	16	29411.76
704000	-4.2666	42.8874	-4011.812903707407	0.02607384	26.192888	3.306577	0.03446277022921977	0.03446277022921977	3	3	574	15	31250.0
705000	-3.8568	42.9045	-4006.0997798878184	0.0248256	15.948281	3.078822	0.04424995307056586	0.04424995307056586	3	4	704	16	26315.79
706000	-3.4676	37.2089	-4000.4595905545734	0.02031403	6.218056	2.588137	0.05274777067170154	0.03914490352478694	3	3	542	16	27777.78
707000	-4.0762	32.3403	-4001.7682736759107	0.0242982	21.433165	2.62543	0.046091650412907866	0.046091650412907866	2	2	537	16	30303.03
708000	-4.9772	71.1836	-4004.7161098559554	0.01694493	43.959155	2.405287	0.03945027688237525	0.03945027688237525	7	7	681	17	28571.43
709000	-5.6872	86.3045	-4001.6538251211477	0.0343195	61.707999	2.662883	0.04428655090989804	0.04428655090989804	4	11	435	16	32258.06
710000	-4.9281	65.0648	-4004.0230252997135	0.02941291	42.731643	2.593922	0.0483271020856257	0.0483271020856257	5	8	537	16	34482.76
711000	-4.7689	76.6263	-4008.249800883348	0.0459354	38.750538	2.771456	0.05336551613897461	0.040074469531671195	6	10	744	23	27777.78
712000	-3.9075	41.8028	-4006.107316707634	0.0450083	17.216306	1.540677	0.05419698185891854	0.05419698185891854	4	4	498	17	30303.03
713000	-4.6181	45.1883	-4006.957555830731	0.02152075	34.979545	1.933668	0.04148472995145739	0.04148472995145739	3	4	540	16	31250.0
714000	-4.6458	78.7513	-4003.1264296884615	0.03029276	35.674041	2.231069	0.05746545368016549	0.05746545368016549	8	10	828	19	32258.06
715000	-6.3701	81.6533	-4005.339258726925	0.02265552	78.780676	3.159835	0.037646226373862945	0.037646226373862945	6	10	521	18	32258.06
716000	-3.9334	46.7405	-4006.695650875293	0.0436553	17.862663	3.371993	0.048664011659484696	0.048664011659484696	2	5	726	16	28571.43
717000	-4.423	56.5466	-3998.553349189901	0.02302733	30.102734	2.186363	0.049966858092801145	0.049966858092801145	5	6	825	19	29411.76
718000	-4.4643	53.185	-4001.7746281239793	0.01585176	31.136781	3.050728	0.08385815662626839	0.06464112963247536	4	7	862	18	32258.06
719000	-4.3482	49.9933	-3998.390813188251	0.027892	28.232086	2.676065	0.046436304898143856	0.046436304898143856	5	5	825	19	31250.0
720000	-3.6827	45.4036	-4005.0255652819915	0.02662904	11.595324	2.365802	0.050418712858706416	0.050418712858706416	4	4	766	21	29411.76
721000	-4.5464	51.6575	-4003.4414762315087	0.02629724	33.187425	2.138925	0.03835961494087478	0.03459374748220303	5	5	746	20	27777.78
